owner,name,full_name,description,language,stars,days_since_last_commit,pushed_at,html_url
"edverma","git-smart-squash","edverma/git-smart-squash","","Python",207,"2 days","2025-06-20T03:04:58+00:00","https://github.com/edverma/git-smart-squash"
"mtopping","obsidian-raindrop","mtopping/obsidian-raindrop","This plugin allows for basic integration with Raindrop.io, a bookmarking service and Obsidian.","TypeScript",222,"1050 days","2022-08-07T01:21:34+00:00","https://github.com/mtopping/obsidian-raindrop"
"DjangoAdminHackers","django-linkcheck","DjangoAdminHackers/django-linkcheck","An app that will analyze and report on links in any model that you register with it. Links can be bare (urls or image and file fields) or embedded in HTML (linkcheck handles the parsing). It's fairly easy to override methods of the Linkcheck object should you need to do anything more complicated (like generate URLs from slug fields etc). ","Python",85,"13 days","2025-06-09T14:02:26+00:00","https://github.com/DjangoAdminHackers/django-linkcheck"
"github","github-mcp-server","github/github-mcp-server","GitHub's official MCP Server","Go",16241,"2 days","2025-06-20T19:15:51+00:00","https://github.com/github/github-mcp-server"
"hugovk","em-keyboard","hugovk/em-keyboard","The CLI emoji keyboard","Python",324,"21 days","2025-06-01T06:52:08+00:00","https://github.com/hugovk/em-keyboard"
"radiac","django-style","radiac/django-style","Basic tasteful designs for your Django project","Python",38,"68 days","2025-04-14T22:01:49+00:00","https://github.com/radiac/django-style"
"simonw","files-to-prompt","simonw/files-to-prompt","Concatenate a directory full of files into a single prompt for use with LLMs","Python",2055,"123 days","2025-02-19T05:57:43+00:00","https://github.com/simonw/files-to-prompt"
"Brktrlw","django-admin-collaborator","Brktrlw/django-admin-collaborator","Real-time collaborative editing for Django admin with WebSockets","JavaScript",49,"31 days","2025-05-22T17:24:40+00:00","https://github.com/Brktrlw/django-admin-collaborator"
"loopwerk","django-rss-filter","loopwerk/django-rss-filter","Filter public RSS feeds, remove articles that contain certain keywords or categories.","Python",56,"55 days","2025-04-28T13:27:10+00:00","https://github.com/loopwerk/django-rss-filter"
"ehmatthes","py-bugger","ehmatthes/py-bugger","An intentional way to practice debugging in Python.","Python",32,"1 day","2025-06-21T17:27:36+00:00","https://github.com/ehmatthes/py-bugger"
"nanuxbe","django-classy-doc","nanuxbe/django-classy-doc","","Python",41,"286 days","2024-09-09T10:47:38+00:00","https://github.com/nanuxbe/django-classy-doc"
"pelican-plugins","feed-filter","pelican-plugins/feed-filter","Pelican plugin that filters elements from feeds","Python",4,"350 days","2024-07-07T16:45:03+00:00","https://github.com/pelican-plugins/feed-filter"
"pydantic","pydantic-ai","pydantic/pydantic-ai","Agent Framework / shim to use Pydantic with LLMs","Python",10378,"1 day","2025-06-21T06:16:48+00:00","https://github.com/pydantic/pydantic-ai"
"engineervix","cv","engineervix/cv","Write your CV in Markdown and generate both a responsive web page and a professional PDF with minimal setup. Features modern tooling (Vite, Puppeteer), beautiful icons, and automated PDF generation via CI/CD. See example below 👇","JavaScript",52,"148 days","2025-01-25T15:03:24+00:00","https://github.com/engineervix/cv"
"joshuadavidthomas","nvim","joshuadavidthomas/nvim","My personal Neovim config","Lua",1,"67 days","2025-04-16T14:24:47+00:00","https://github.com/joshuadavidthomas/nvim"
